city,name,adress,Google Plus-Code,longitude,latitude
Lisbon,LisbonCoworkingSpace.com (The Liz),"R. Maria 36A, 1170-286 Lisboa, Portugal","PVF8+5P Lissabon, Portugal",3872294,-913320
Lisbon,"Marketline - Serviços De Marketing, Lda.","Av. da Ilha da Madeira 26, 1400-204 Lisboa, Portugal","PQ4V+53 Lissabon, Portugal",3870541,-920733
Lisbon,MU Workspace - Creative Cowork,"R. Luís Piçarra nº4, 1750-417 Lisboa, Portugal","QRGX+9P Lissabon, Portugal",3877599,-915069
Lisbon,Nau Coworking,"R. dos Lagares d'El-Rei 19A, 1700-268 Lisboa, Portugal","PVX8+58 Lissabon, Portugal",3874795,-913414
Lisbon,Nimbler Spaces Coworking & Private Offices Lisbon Marquês de Pombal,"Av. Duque de Loulé 110, 1050-045 Lisboa, Portugal","PVG2+HX Lissabon, Portugal",3872645,-914762
Lisbon,NKOOWOORK – Coworking in Lisbon," Praceta da Tabaqueira, Praceta, B Lote A 5º I, 1950-256 Lisboa, Portugal","PWW2+PH Lissabon, Portugal",3874682,-909849
Lisbon,Noticiaria,"Rua do Loreto 19, 1200-106 Lisboa, Portugal","PV64+67 Lissabon, Portugal",3871062,-914427
Lisbon,NOW_Beato,"Rua da Manutenção 67, 1900-319 Lisboa, Portugal","PVHR+WV Lissabon, Portugal",3872979,-910785
Lisbon,Nuno Space,"Largo Santos 9 2E, 1200-656 Lisboa, Portugal","PR5W+26 Lissabon, Portugal",3870753,-915443
Lisbon,ONE your first stop,"R. Pereira Henriques nº1, 1950-242 Lisboa, Portugal","PVRW+8H Lissabon, Portugal",3874086,-910354
Lisbon,Outsite Cowork Café,"Rua de S. Paulo 109, 1200-066 Lisboa, Portugal","PV53+94 Lissabon, Portugal",3870844,-914719
Lisbon,Perigord Lisboa,"Rua da Senhora do Monte 38, 1170-361 Lisboa, Portugal","PV99+Q7 Lissabon, Portugal",3871939,-913178
Lisbon,Quarto Andar,"R. Padre Luís Aparício 9 4º Direito, 1150-248 Lisboa, Portugal","PVF4+QW Lissabon, Portugal",3872442,-914263
Lisbon,Regus - Lisbon Avenida da Liberdade,"Av. da Liberdade 110, 1269-046 Lisboa, Portugal","PV94+HF Lissabon, Portugal",3871887,-914377
Lisbon,Regus - Lisbon Avenida da Republica,"Av. da República 50 2nd floor, 1050-196 Lisboa, Portugal","PVR3+6H Lissabon, Portugal",3874056,-914612
Lisbon,"Regus - Lisbon, Amoreiras","Building Amoreiras Square, R. Carlos Alberto da Mota Pinto 17 3rd Floor A, 1070-313 Lisboa, Portugal","PRCQ+H9 Lissabon, Portugal",3872139,-916160
Lisbon,"Regus - Lisbon, Chiado","R. Ivens 42, 1200-227 Lisboa, Portugal","PV65+3R Lissabon, Portugal",3871014,-914037
