city,name,adress,Google Plus-Code,longitude,latitude
Barcelona,The Social Hub Coworking Barcelona Poblenou,"C/ de Cristóbal de Moura, 49, 08019 Barcelona, Spanien","C653+XQ Barcelona, Spanien",4140995,2204468
Barcelona,CoWorking WITH,"Carrer del Perelló, 48, 50, Bajos, 08005 Barcelona, Spanien","96X4+FF Barcelona, Spanien",4139861,2206299
Barcelona,Alquiler Oficinas y Salas Centro Barcelona,"C/ d'Aragó, 308, 1º 2ª, 08009 Barcelona, Spanien","95V9+R8 Barcelona, Spanien",4139448,2168252
Barcelona,Collective Barcelona,"Pg. de Gràcia, 53, 08007 Barcelona, Spanien","95R7+XH Barcelona, Spanien",4139238,2164013
Barcelona,GWC Coworking Barcelona,"Passeig d'Amunt, 7, Bajos, 08024 Barcelona, Spanien","C555+WQ Barcelona, Spanien",4140984,2159378
Barcelona,Mitre Workspace,"Ronda del General Mitre, 126, 08021 Barcelona, Spanien","C42Q+W4 Barcelona, Spanien",4140224,2137792
Barcelona,Coworking Fontanella,"C/ de Fontanella, 18, 3º, 08010 Barcelona, Spanien","95QF+63 Barcelona, Spanien",4138804,2172710
Barcelona,Vía Coworking Barcelona,"Via Laietana 71 Pral 2º, 08003 Barcelona, Spanien","95QF+74 Barcelona, Spanien",4138824,2172846
Barcelona,WeWork - Espacio de oficinas y coworking,"C/ de la Ciutat de Granada, 121, 08018 Barcelona, Spanien","C52V+R5 Barcelona, Spanien",4140200,2192960
Barcelona,Canvas Barcelona,"La Rambla, 130, 08002 Barcelona, Spanien","95MC+RG Barcelona, Spanien",4138452,2171278
Barcelona,Coworker Barcelona,"C/ dels Mirallers, 6, 08003 Barcelona, Spanien","95MJ+M6 Barcelona, Spanien",4138417,2180517
Barcelona,Coworking La Platja,"Plaça de Tirant lo Blanc, 6, 08005 Barcelona, Spanien","96V2+76 Barcelona, Spanien",4139318,2200602
Barcelona,"Spaces - Barcelona, Spaces 22 Arroba Mar","Mapfre Tower, Carrer de la Marina, 16-18, 27th Floor, 08005 Barcelona, Spanien","95QX+42 Barcelona, Spanien",4138779,2197560
Barcelona,L'illa & Co.,"Av. Diagonal, 571, planta 2, 08029 Barcelona, Spanien","94QM+PG Barcelona, Spanien",4138934,2133826
Barcelona,CoWork Bcn,"Pg. d'Isabel II, 6, 08003 Barcelona, Spanien","95JM+J4 Barcelona, Spanien",4138157,2182772
Barcelona,Agitación.net Coworking Gràcia,"Carrer de Sant Domènec, 11, 08012 Barcelona, Spanien","C524+3H Barcelona, Spanien",4140021,2156466
Barcelona,Iscoworkingbcn,"Rambla de Catalunya, 71, 08007 Barcelona, Spanien","95R7+G2 Barcelona, Spanien",4139135,2162606
Barcelona,BCN Cowork.es | Coworking Barcelona Sud,"Ciutat de la Justicia, Av. del Carrilet, 3, Edificio D, 08902 L'Hospitalet de Llobregat, Barcelona, Spanien","947J+WJ L’Hospitalet de Llobregat, Spanien",4136479,2131557
Barcelona,First Workplaces Rambla Catalunya,"Rambla de Catalunya, 18, 08007 Barcelona, Spanien","95Q8+HP Barcelona, Spanien",4138893,2166847
Barcelona,Aticco Bogatell - Coworking en Poblenou,"C. de Pallars, 108, 08018 Barcelona, Spanien","95WR+8F Barcelona, Spanien",4139585,2191201
Barcelona,Nexus Coworking & Private offices,"C/ de Lepant, 270, Entresuelo (Recepción en Planta Baja, 08013 Barcelona, Spanien","C53G+MV Barcelona, Spanien",4140419,2177177
Barcelona,Coworking Loft para Creativos: WeLoft,"C/ de Pere IV, 78, 6º 2ª, 08005 Barcelona, Spanien","95WV+VF Barcelona, Spanien",4139716,2193665
Barcelona,SINGULAR COWORK - Coworking a Gràcia,"C/ de Sant Agustí, 5, 2A, 08012 Barcelona, Spanien","95X6+88 Barcelona, Spanien",4139833,2160832
Barcelona,Coworking La Guarida Creativa Barcelona,"Carrer de Bertran, 92 Tercera, planta, 08023 Barcelona, Spanien","C45Q+2W Barcelona, Spanien",4140753,2139840
Barcelona,Cloudworks La Rambla - Drassanes,"Av. de les Drassanes, 6, Planta 23, 08001 Barcelona, Spanien","95GG+H3 Barcelona, Spanien",4137645,2175241
Barcelona,COWORKING PASSATGE NOGUÉS,"Passatge de Nogués, 10, 08025 Barcelona, Spanien","C558+2P Barcelona, Spanien",4140761,2166824
Barcelona,AB21 space. Coworking,"C/ d'Aurora Bertrana, 21, 08028 Barcelona, Spanien","94H9+FH Barcelona, Spanien",4137870,2118969
Barcelona,STUDIO52 Bcn * Coworking & Plató Fotográfico,"C/ de la Ciutat de Granada, 52, 1º, 08005 Barcelona, Spanien","95XX+C5 Barcelona, Spanien",4139857,2197970
Barcelona,Monday Diagonal,"Carrer de la Riera de Sant Miquel, 1 BIS, 08006 Barcelona, Spanien","95W5+Q4 Barcelona, Spanien",4139689,2157794
Barcelona,Coworking Boutique Rambla Catalunya 49,"Rambla de Catalunya, 49, 08007 Barcelona, Spanien","95R7+4H Barcelona, Spanien",4139036,2163950
Barcelona,Aurea Coworking | Sarrià,"Av, Via Augusta, 318, local 4, 08017 Barcelona, Spanien","94XG+99 Barcelona, Spanien",4139845,2126019
Barcelona,Produkt Buro,"C/ de Ramon Turró, 154, 08005 Barcelona, Spanien","95WX+QM Barcelona, Spanien",4139695,2199224
Barcelona,"Loft 153 - Coworking, coffeeworking & Events","C. de Viladomat, 169, Bajos, 08015 Barcelona, Spanien","95M3+26 Barcelona, Spanien",4138250,2153023
Barcelona,Eco-Working Poblenou,"C/ de la Ciutat de Granada, 28, 08005 Barcelona, Spanien","95XX+2Q Barcelona, Spanien",4139753,2199467
Barcelona,Coworking LOOM Plaza Catalunya,"Pl. de Catalunya, 9, 08002 Barcelona, Spanien","95Q9+3F Barcelona, Spanien",4138762,2168744
Barcelona,La Lola Coworking,"Carrer de Sant Salvador, 109, 08024 Barcelona, Spanien","C554+89 Barcelona, Spanien",4140838,2155860
Barcelona,Coworking Poblenou,"C. de Pallars, 74, 1-12, 08018 Barcelona, Spanien","95VQ+MC Barcelona, Spanien",4139419,2188538
Barcelona,Acla Coworking,"Av. Diagonal, 337, b, 08037 Barcelona, Spanien","95X9+83 Barcelona, Spanien",4139832,2167709
Barcelona,Beauty Loft Coworking,"Travessera de Gràcia, 213, 08012 Barcelona, Spanien","C536+97 Barcelona, Spanien",4140338,2160729
Barcelona,"Spaces - Barcelona, Spaces Passatge Mas de Roda","Passatge de Mas de Roda, 6-14, 08005 Barcelona, Spanien","95WX+GQ Barcelona, Spanien",4139629,2199412
Barcelona,Coworking el Raval,"C/ de la Lluna, 11, 08001 Barcelona, Spanien","95J8+F9 Barcelona, Spanien",4138113,2165944
